,C,S,Se,P,As,Te,Ge,Sn,Si,Ga,B,Cd,Hg,Sb,Bi,Zn,Mg,Na,K,Au,Ag,Ba,Sr,Ca,Cs,Cu,Pd,Al,Tl,In,Ni,Co,Hf,Zr,Mo,Ti,Ta,Sc,Y,Rh,Ru,Pt,Ir,Os,Re,Pb,V,Nb,W,Cr,Be,Li,Fe,Mn,Rb
Y,-0.86,-0.76,-0.68,-0.68,-0.61,-0.59,-0.48,-0.35,-0.22,-0.19,0.05,0.14,0.22,0.12,0.23,0.70,0.78,0.81,0.84,0.84,0.89,0.97,0.98,0.98,0.97,0.97,0.97,0.96,0.96,0.96,0.98,0.98,0.99,0.99,0.97,0.99,0.99,1.00,1.00,0.95,0.92,0.90,0.89,0.88,0.92,0.94,0.93,0.92,0.87,0.88,0.91,0.91,0.89,0.63,0.59
Rh,-0.80,-0.72,-0.64,-0.62,-0.53,-0.54,-0.46,-0.33,-0.21,-0.17,0.05,0.13,0.18,0.33,0.42,0.70,0.75,0.77,0.83,0.90,0.90,0.91,0.91,0.93,0.94,0.95,0.98,0.94,0.96,0.97,0.99,0.98,0.96,0.95,0.95,0.95,0.95,0.95,0.95,1.00,0.99,0.98,0.98,0.97,0.97,0.93,0.89,0.90,0.87,0.86,0.86,0.88,0.82,0.61,0.58
Ru,-0.80,-0.74,-0.66,-0.65,-0.55,-0.57,-0.50,-0.38,-0.26,-0.23,0.00,0.06,0.09,0.33,0.41,0.65,0.73,0.75,0.81,0.87,0.86,0.87,0.87,0.89,0.91,0.92,0.96,0.91,0.95,0.96,0.97,0.98,0.94,0.93,0.93,0.92,0.92,0.93,0.92,0.99,1.00,0.97,0.99,0.98,0.97,0.93,0.89,0.90,0.88,0.86,0.86,0.86,0.80,0.61,0.56
Pt,-0.79,-0.72,-0.64,-0.64,-0.55,-0.53,-0.51,-0.38,-0.28,-0.22,0.07,0.09,0.16,0.31,0.40,0.65,0.71,0.77,0.82,0.95,0.92,0.84,0.85,0.87,0.93,0.94,0.96,0.91,0.95,0.95,0.97,0.96,0.92,0.92,0.92,0.90,0.91,0.91,0.90,0.98,0.97,1.00,0.99,0.97,0.96,0.92,0.89,0.89,0.87,0.85,0.83,0.82,0.80,0.63,0.62
Ir,-0.80,-0.76,-0.69,-0.68,-0.59,-0.59,-0.56,-0.44,-0.34,-0.29,-0.03,0.00,0.05,0.31,0.39,0.61,0.69,0.72,0.78,0.91,0.87,0.81,0.82,0.85,0.89,0.91,0.94,0.88,0.93,0.94,0.96,0.96,0.91,0.91,0.92,0.90,0.90,0.90,0.89,0.98,0.99,0.99,1.00,1.00,0.98,0.93,0.89,0.90,0.90,0.86,0.83,0.83,0.79,0.62,0.57
Os,-0.82,-0.80,-0.73,-0.72,-0.63,-0.65,-0.61,-0.50,-0.40,-0.36,-0.09,-0.07,-0.04,0.28,0.36,0.57,0.67,0.70,0.76,0.87,0.82,0.78,0.80,0.83,0.86,0.88,0.92,0.86,0.91,0.93,0.95,0.96,0.91,0.91,0.92,0.89,0.89,0.89,0.88,0.97,0.98,0.97,1.00,1.00,0.98,0.93,0.89,0.91,0.92,0.87,0.84,0.83,0.79,0.62,0.54
Re,-0.87,-0.84,-0.78,-0.77,-0.69,-0.70,-0.63,-0.52,-0.40,-0.38,-0.09,-0.06,-0.02,0.20,0.28,0.60,0.73,0.74,0.80,0.86,0.83,0.83,0.85,0.88,0.89,0.91,0.93,0.90,0.93,0.95,0.97,0.98,0.96,0.96,0.97,0.94,0.95,0.94,0.92,0.97,0.97,0.96,0.98,0.98,1.00,0.98,0.94,0.96,0.96,0.91,0.89,0.88,0.84,0.63,0.52
Pb,-0.90,-0.88,-0.82,-0.82,-0.75,-0.75,-0.65,-0.54,-0.42,-0.41,-0.08,-0.09,-0.03,0.07,0.16,0.59,0.75,0.73,0.76,0.81,0.81,0.85,0.87,0.90,0.90,0.90,0.91,0.89,0.91,0.94,0.96,0.97,0.98,0.98,0.99,0.97,0.97,0.95,0.94,0.93,0.93,0.92,0.93,0.93,0.98,1.00,0.96,0.98,0.97,0.93,0.92,0.89,0.87,0.65,0.51
V,-0.94,-0.89,-0.83,-0.84,-0.79,-0.76,-0.69,-0.59,-0.48,-0.45,-0.16,-0.10,-0.03,-0.03,0.06,0.57,0.73,0.78,0.78,0.80,0.80,0.85,0.86,0.88,0.90,0.89,0.88,0.85,0.89,0.92,0.93,0.94,0.96,0.96,0.96,0.95,0.95,0.94,0.93,0.89,0.89,0.89,0.89,0.89,0.94,0.96,1.00,0.97,0.95,0.94,0.91,0.88,0.86,0.65,0.60
Nb,-0.95,-0.94,-0.89,-0.88,-0.82,-0.83,-0.75,-0.65,-0.54,-0.51,-0.19,-0.19,-0.11,0.00,0.08,0.52,0.71,0.72,0.74,0.77,0.77,0.82,0.85,0.87,0.87,0.87,0.87,0.86,0.89,0.92,0.93,0.95,0.96,0.97,0.97,0.96,0.95,0.94,0.92,0.90,0.90,0.89,0.90,0.91,0.96,0.98,0.97,1.00,0.99,0.94,0.92,0.88,0.88,0.66,0.52
W,-0.95,-0.95,-0.92,-0.90,-0.85,-0.86,-0.80,-0.71,-0.61,-0.59,-0.27,-0.26,-0.21,-0.01,0.06,0.47,0.67,0.67,0.70,0.74,0.72,0.75,0.79,0.82,0.81,0.82,0.83,0.81,0.85,0.89,0.90,0.92,0.93,0.94,0.95,0.92,0.91,0.90,0.87,0.87,0.88,0.87,0.90,0.92,0.96,0.97,0.95,0.99,1.00,0.93,0.89,0.85,0.85,0.64,0.48
Cr,-0.90,-0.88,-0.84,-0.82,-0.76,-0.77,-0.69,-0.60,-0.49,-0.48,-0.19,-0.14,-0.09,0.01,0.10,0.52,0.68,0.71,0.70,0.74,0.74,0.79,0.81,0.83,0.84,0.83,0.84,0.81,0.85,0.88,0.89,0.90,0.92,0.92,0.92,0.91,0.90,0.90,0.88,0.86,0.86,0.85,0.86,0.87,0.91,0.93,0.94,0.94,0.93,1.00,0.88,0.84,0.80,0.65,0.55
Be,-0.88,-0.83,-0.78,-0.77,-0.71,-0.71,-0.61,-0.50,-0.39,-0.36,-0.09,-0.04,0.01,0.01,0.10,0.59,0.81,0.75,0.76,0.73,0.76,0.85,0.87,0.89,0.87,0.86,0.85,0.86,0.88,0.90,0.90,0.91,0.93,0.94,0.93,0.93,0.92,0.92,0.91,0.86,0.86,0.83,0.83,0.84,0.89,0.92,0.91,0.92,0.89,0.88,1.00,0.85,0.84,0.64,0.54
Li,-0.82,-0.76,-0.70,-0.68,-0.61,-0.63,-0.51,-0.39,-0.28,-0.27,-0.05,0.05,0.08,0.11,0.20,0.62,0.71,0.77,0.74,0.73,0.77,0.86,0.87,0.89,0.87,0.86,0.87,0.86,0.87,0.88,0.90,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.88,0.86,0.82,0.83,0.83,0.88,0.89,0.88,0.88,0.85,0.84,0.85,1.00,0.80,0.56,0.47
Fe,-0.85,-0.79,-0.74,-0.71,-0.66,-0.67,-0.59,-0.48,-0.39,-0.32,-0.05,-0.04,0.07,0.03,0.12,0.52,0.67,0.73,0.76,0.73,0.77,0.84,0.85,0.85,0.85,0.85,0.83,0.84,0.84,0.86,0.87,0.87,0.90,0.90,0.89,0.90,0.89,0.90,0.89,0.82,0.80,0.80,0.79,0.79,0.84,0.87,0.86,0.88,0.85,0.80,0.84,0.80,1.00,0.69,0.59
Mn,-0.63,-0.66,-0.62,-0.61,-0.57,-0.57,-0.52,-0.44,-0.37,-0.32,0.02,-0.08,-0.03,-0.06,0.00,0.39,0.52,0.58,0.55,0.58,0.58,0.58,0.58,0.59,0.64,0.62,0.60,0.60,0.62,0.65,0.64,0.64,0.64,0.65,0.63,0.63,0.62,0.64,0.63,0.61,0.61,0.63,0.62,0.62,0.63,0.65,0.65,0.66,0.64,0.65,0.64,0.56,0.69,1.00,0.67
Rb,-0.51,-0.43,-0.36,-0.38,-0.33,-0.29,-0.30,-0.21,-0.17,-0.01,0.24,0.17,0.23,0.08,0.16,0.45,0.49,0.68,0.60,0.65,0.67,0.61,0.55,0.57,0.69,0.65,0.61,0.63,0.63,0.62,0.61,0.58,0.57,0.58,0.54,0.56,0.56,0.59,0.59,0.58,0.56,0.62,0.57,0.54,0.52,0.51,0.60,0.52,0.48,0.55,0.54,0.47,0.59,0.67,1.00
